抓取日期,分類,排名,商品編號,廠牌,型號,商品名稱,折扣,售價,原價,商品詳細,連結
2026-09-19,氣炸鍋,1,243781,歌林,KNJP-SD2063,歌林 5L觸控氣炸鍋,57折,$1980,"$3,480","5L 大容量 ｜ 觸控面板 ｜ 透明玻璃窗烤籃 ｜ 炸籃,烤架陶瓷不沾塗層 ｜ 時間設定: 1~90 分鐘 ｜ 溫度設定: 65-200℃ ｜ 內建 8 種菜單 ｜ 自動斷電保護模式",https://www.tk3c.com/product/243781?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,2,265655,TECO,XYFYB42011,TECO東元 智能蒸氣玻璃氣炸鍋/蒸氣炸鍋,72折,$2880,"$3,980",蒸氣加濕功能，食材不乾柴 ｜ 減少油脂，0油烤出皮脆肉嫩 ｜ 高溫水蒸氣調理，鎖住水分營養 ｜ 預設烹飪菜單、液晶觸控操作 ｜ 高硼矽玻璃、無塗層易清潔 ｜ 4.5L大容量，全雞也放得下,https://www.tk3c.com/product/265655?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,3,248044,SONGEN,SG-421GAF-B,SONGEN松井 5.5L晶鑽玻璃氣炸鍋,76折,$2480,"$3,280",預設七種美食烹飪菜單、容易操作 ｜ LED觸控面板、清晰液晶顯示 ｜ 全景可視玻璃炸籃，一目瞭然 ｜ 獨特雙鍋把設計，端捧更安全 ｜ 可調節式溫度控制、輕鬆烹調 ｜ 取鍋自動斷電、烹調安全放心,https://www.tk3c.com/product/248044?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,4,243623,SONGEN,SG-500AF-W,SONGEN松井 日系晶鑽可視玻璃氣炸鍋,60折,$1780,"$2,980",全景可視玻璃炸籃，一目瞭然 ｜ 雙旋鈕溫度時間控制、簡易使用 ｜ 高速熱旋循環、免油照樣香酥脆 ｜ 頂部八種美食菜單、方便易懂 ｜ 高硼矽玻璃不黏鍋、清洗方便 ｜ 取鍋自動斷電、烹調安全放心,https://www.tk3c.com/product/243623?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,5,264489,SONGEN,SG-425GAF-W,SONGEN松井 3D熱旋晶鑽玻璃氣炸鍋,68折,$2380,"$3,480",3D全方位熱旋循環、免油香酥脆 ｜ 頂部六種美食菜單、方便易懂 ｜ 全景可視玻璃炸籃、一目瞭然 ｜ 可調節式溫度控制、輕鬆烹調 ｜ 取籃自動斷電、烹調安全放心 ｜ 高硼矽玻璃不黏鍋、清洗方便,https://www.tk3c.com/product/264489?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,6,230607,大家源,TCY-725002,大家源5L美味油切氣炸鍋,80折,$1980,"$2,490",額定電壓：110V、額定頻率：60Hz ｜ 容量：5公升 ｜ 符合商品檢驗局檢驗合格認證R73416 RoHS,https://www.tk3c.com/product/230607?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,7,254257,PRINCESS,183042,PRINCESS 3.5L數位健康氣炸鍋,,$2690,"$2,690",AeroFlow氣旋技術 ｜ 觸控面板 ｜ 內建10種智能菜單 ｜ 減少80%油脂攝取 ｜ 80~200度控溫 ｜ 60分鐘定時裝置 ｜ 拉開即斷電安全裝置 ｜ 通過SGS檢驗及符合安檢規範,https://www.tk3c.com/product/254257?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,8,243616,SONGEN,SG-300AF-W,SONGEN松井 3D熱旋晶鑽玻璃氣炸鍋,60折,$1780,"$2,980",頂部八種美食菜單、容易操作 ｜ 全景可視玻璃炸籃，一目瞭然 ｜ LED觸控面板、清晰液晶顯示 ｜ 上掀蓋設計，美味好拿取 ｜ 高硼矽玻璃不黏鍋、清洗方便 ｜ 取鍋自動斷電、烹調安全放心,https://www.tk3c.com/product/243616?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,9,227810,Tefal,EY501870,Tefal 法國特福4.2L燒烤二合一氣炸鍋,62折,$3690,"$5,990",2種烹飪模式 ，氣炸& 燒烤 ｜ 簡易上手&彈性操作 ｜ 快速氣流循環系統 ｜ 圖示建議食材烹飪溫度及時間 ｜ 計時旋鈕 ｜ 簡易清潔 ｜ 獨家完美炙燒烤網,https://www.tk3c.com/product/227810?kw=氣炸鍋&source=5&ec=Search_hotPC1
2026-09-19,氣炸鍋,10,205634,SONGEN,SG-350AF(G),SONGEN松井 健康智慧型氣炸鍋-綠,66折,$1980,"$2,980",預設七種美食烹飪設置、方便易懂 ｜ LED觸控面板、清晰液晶顯示 ｜ 不銹鋼亮光飾面、豪華亮麗 ｜ 高速熱旋循環、免油照樣香酥脆 ｜ 可調節式溫度控制、輕鬆烹調 ｜ 食品級不沾鍋塗層、清洗方便,https://www.tk3c.com/product/205634?kw=氣炸鍋&source=5&ec=Search_hotPC1
