抓取日期,分類,排名,商品編號,廠牌,型號,商品名稱,折扣,售價,原價,商品詳細,連結
2026-09-19,冰箱,1,254343,聲寶SAMPO,SR-F61DV(Y7),聲寶 SAMPO 605公升三門變頻冰箱,86折,$30890,"$35,000",長76.8 寬75.4 高185.5 (CM) ｜ Nano-Ti 極光鈦抗抗菌/Umanga/白金脫臭 ｜ 日本同級鏡面觸控面板 ｜ 冷凍室/冷藏室平面式出風柵板 ｜ 冷凍室/冷藏室高亮度LED燈 ｜ 變頻壓縮機、R600a環保冷媒 ｜ -3度微凍鮮 Premium Freezing 7天保鮮食材,https://www.tk3c.com/product/254343?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,2,248702,奇美CHIMEI,UR-A298VB,奇美 CHIMEI 292公升變頻雙門電冰箱,65折,$14900,"$21,900",長63.5 寬54.8 高163 (CM) ｜ 直流變頻節能科技、Ag銀離子除菌 ｜ 新鮮蔬果收納室 ｜ 移動式製冰盒 ｜ LED照明、54.8cm窄機身 ｜ 隱藏式把手,https://www.tk3c.com/product/248702?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,3,243448,國際牌Panasonic,NR-C501PG-H1(極致灰),國際牌 Panasonic 495公升三門變頻冰箱,88折,$43110,"$47,900",長75 寬75 高173 (CM) ｜ 冷凍室LED照明搭載 ｜ 冰水霸設計(飲水) ｜ ECONAVI智慧節能，無邊框霧面玻璃設計 ｜ 冷凍室大容量設計 ｜ 90分鐘快速製冰 ｜ nanoeX科技、- 3℃ 微凍結 ｜ 新鮮急凍結室、智慧保濕蔬果室,https://www.tk3c.com/product/243448?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,4,252705,國際牌Panasonic,NR-F551WX-X1(鑽石黑),國際牌 Panasonic 日製550公升六門變頻玻璃冰箱,89折,$62910,"$69,900",長69.9 寬68.5 高182.8 (CM) ｜ nanoeX淨化科技AI-ECONAVI智慧節能 ｜ 抑霜鮮凍:抑制食材結霜 ｜ 新鮮急凍結室:5倍速急冷凍 ｜ -3度C微凍結室 ｜ 80分鐘快速製冰 ｜ IoT重量檢知盤 ｜ 智慧保濕蔬果室,https://www.tk3c.com/product/252705?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,5,236995,台灣三洋,SR-C130BV1,台灣三洋 129公升雙門變頻冰箱,81折,$11600,"$13,300",長56.9 寬48.5 高110.3 (CM) ｜ 冷藏室LED燈 ｜ 蔬果保鮮室 ｜ 自動除霜 ｜ R600a環保冷媒 ｜ 強化玻璃棚架 ｜ 美背式設計,https://www.tk3c.com/product/236995?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,6,243441,國際牌Panasonic,NR-B171TV-S1(晶鈦銀),國際牌 Panasonic 167公升雙門變頻冰箱,84折,$12051,"$13,390",長58.4 寬52.6 高127.8 (CM) ｜ 冷藏室LED照明設計 ｜ 活動式製冰盒，冷凍室大容量設計 ｜ 冷藏室玻璃層架 ｜ 魚肉保鮮盒、大容量蔬菜盒 ｜ Ag銀離子益菌 ｜ 急速冷凍行程 ｜ 3D循環氣流,https://www.tk3c.com/product/243441?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,7,249705,LG 樂金,GN-HL460PS,【LG 樂金】461公升雙門變頻冰箱,86折,$23900,"$26,900","長72.5 寬70 高184.5 (CM) ｜ 容量 461L (冷藏室 361L,冷凍室 100L) ｜ Smart鮮淨過濾系統+四方吹冷流+ ｜ 線性精準溫控 ｜ 保鮮蔬果室 ｜ 急速冷凍/旋轉製冰盒 ｜ ThinQ (Wi-Fi)遠端智慧控制 ｜ 強化玻璃層架/邊門透明棚架",https://www.tk3c.com/product/249705?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,8,241431,聲寶SAMPO,SR-C12G(髮絲銀),聲寶 SAMPO 118公升雙門冰箱,82折,$7990,"$8,790",長49.8 寬47 高104.5 (CM) ｜ 保鮮蔬果室.食材管理好收納 ｜ 隱藏式把手設計/置物門欄 ｜ 定頻一級能效/容量:118L ｜ 冷藏室照明燈/玻璃盤架/活動式製冰盒&冰鏟 ｜ 直冷出風、防火背板設計 ｜ 高效能壓縮機/R600a環保冷媒 ｜ 節能標章、環保標章、信譽品牌,https://www.tk3c.com/product/241431?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,9,244776,台灣三洋,SR-V250BF,台灣三洋 250公升下冷凍變頻冰箱,74折,$16900,"$21,900",長59 寬54.5 高181 (CM) ｜ 急速冷凍功能上冷藏下冷凍 ｜ 3D立體冷流 ｜ R600a環保冷媒 ｜ 移動式密封蛋盒 ｜ 抽屜式冷凍室 ｜ 冷藏室LED燈 ｜ 琉璃白面板,https://www.tk3c.com/product/244776?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,10,242987,LG 樂金,GN-L372BEN,【LG 樂金】375公升上下門變頻冰箱,80折,$19900,"$23,900",長68 寬70 高172 (CM) ｜ 容量375L(冷藏285L冷凍90L) ｜ 強化玻璃層架 ｜ 馬卡龍色系 ｜ 金屬控制面板 ｜ 移動式可拆製冰盒，隱藏式把手 ｜ 質感平面門板設計 ｜ 四方吹冷流+,https://www.tk3c.com/product/242987?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,11,212499,日立HITACHI,RV36CBBK(星燦灰),日立 HITACHI 331公升Solfege三門變頻冰箱,89折,$30728,"$33,400","長65.5 寬54 高173.5 (CM) ｜ 冷藏室LED照明燈 ｜ 自動製冰機,水路免保養 ｜ 急速冷凍,保留原汁原味 ｜ 三重抗菌除臭濾網 ｜ 深度65.5cm系統家具最適尺寸 ｜ 高保濕蔬果保鮮室",https://www.tk3c.com/product/212499?kw=冰箱&source=5&ec=Search_hotPC1
2026-09-19,冰箱,12,239962,國際牌Panasonic,NR-B331VG-X1(鑽石黑),國際牌 Panasonic 325公升下冷凍雙門變頻冰箱,,$22352,"$24,700",長65.3 寬60.1 高179 (CM) ｜ 冷凍室大容量設計 ｜ 電冰箱總容量:325L 冷藏室:231L 冷凍室:94L ｜ 全室高耐重玻璃層架 ｜ 活動式製冰盒 ｜ 全平面無邊框設計 ｜ 急速冷凍行程 ｜ 冷藏室LED照明設計,https://www.tk3c.com/product/239962?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,13,252724,國際牌Panasonic,NR-D615XGS-B(墨岩黑),國際牌 Panasonic 610公升四門變頻玻璃冰箱,,$41670,"$46,300","長78 寬77.1 高183.4 (CM) ｜ 新鮮急凍結室 ｜ 冷藏強化、冷凍照明,廣度均勻照明 ｜ 全室保鮮.抑菌.除臭「nanoe X」 ｜ 智慧保濕蔬果室 ｜ -3℃微凍結室",https://www.tk3c.com/product/252724?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,14,262488,禾聯,HRE-0515,禾聯 45L單門電冰箱,,$5090,"$5,890",節能壓縮機 ｜ 寶特瓶門欄設計 ｜ 耐重型網架設計 ｜ 迷你造型 ｜ R600a最新環保冷媒 ｜ 隱藏式把手左右開門設計 ｜ 全機一體發泡 ｜ 含基本安裝,https://www.tk3c.com/product/262488?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,15,239963,國際牌Panasonic,NR-B301VG-X1(鑽石黑),國際牌 Panasonic 300公升下冷凍雙門變頻冰箱,,$20430,"$22,700",長65.3 寬60.1 高168 (CM) ｜ 冷凍室大容量設計 ｜ 電冰箱總容量:300L 冷藏室:206L 冷凍室:94L ｜ 全室高耐重玻璃層架 ｜ 活動式製冰盒 ｜ 全平面無邊框設計 ｜ 急速冷凍行程 ｜ 冷藏室LED照明設計,https://www.tk3c.com/product/239963?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,16,240449,HERAN,HPR-60AP01S,HERAN  HPR-60AP01S  60L微電腦雙溫控行動冰箱,,$18990,"$20,990",60公升大容量 ｜ 抽取式雙槽設計 ｜ 獨立溫控 冷藏/冷凍兩用 ｜ 雙向上蓋 不侷限擺放位置 ｜ 內置照明燈 方便暗處拿取 ｜ 節能ECO/速冷MAX雙模式 ｜ 壓縮機傾斜保護 ｜ 車載電池保護,https://www.tk3c.com/product/240449?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,17,262491,禾聯,HRE-B1261U,禾聯 117L雙門小冰箱,,$9190,"$11,200",節能壓縮機 ｜ 寶特瓶門欄設計.耐重型網架設計 ｜ 左右開門設計(需變換螺絲位置) ｜ 迷你造型 ｜ R600a最新環保冷媒 ｜ 隱藏式把手 ｜ 上冷藏下冷凍全機一體發泡 ｜ 含基本安裝,https://www.tk3c.com/product/262491?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,18,262494,禾聯,HRE-B2511V9,禾聯 253L變頻雙門窄身電冰箱,,$14990,"$17,800",高節能變頻壓縮機 ｜ R600a最新環保冷媒 ｜ 多重立體冷流穩定保鮮 ｜ 奈米鐵+Ag雙效抑菌脫臭 ｜ 高級晶鑽安全強化玻璃棚架 ｜ 含基本安裝,https://www.tk3c.com/product/262494?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,19,262496,禾聯,HRE-B4823V9,禾聯 穗香金系列485L變頻雙門電冰箱,,$24490,"$25,900",ECO POWER 智慧節能 ｜ 外控微電腦面板 ｜ Ag+銀離子抑菌脫臭 ｜ R600a最新環保冷媒 ｜ 安全強化玻璃棚架 ｜ 冷藏室箱門長時未關警示 ｜ 多重冷流穩定保鮮 ｜ 含基本安裝,https://www.tk3c.com/product/262496?p=1&kw=冰箱&ec=Search_goodsPC1
2026-09-19,冰箱,20,262497,禾聯,HRE-B5825V9,禾聯 大雙門系列580L變頻雙門電冰箱,,$29100,"$33,400",Ag+銀離子抑菌脫臭 ｜ ECO POWER智慧節能 ｜ 高效節能變頻壓縮機 ｜ 外控微電腦面板 ｜ 急速冷凍功能.急速冷凍功能 ｜ R600a最新環保冷媒 ｜ 多重冷流穩定保鮮 ｜ 含基本安裝,https://www.tk3c.com/product/262497?p=1&kw=冰箱&ec=Search_goodsPC1
