抓取日期,分類,排名,商品編號,廠牌,型號,商品名稱,折扣,售價,原價,商品詳細,連結
2026-09-19,掃地機器人,1,269846,DJI,ROMO,DJI ROMO S 掃拖機器人,82折,$20480,"$24,980",簡約美學白色機身設計 ｜ 搭配旗艦無人機同款避障系統 ｜ 基站高壓熱洗技術，200天長效免維護 ｜ 根據地形靈活快擴，無縫貼合牆沿轉角 ｜ 25000 Pa絕塵吸力 ｜ 拖地方案可訂製，去汙除臭隨心選 ｜ 毛髮0纏繞0卡機，告別手動清理 ｜ 三重消音艙設計，低噪音不打擾,https://www.tk3c.com/product/269846?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,2,258091,Roborock,RRA1TAL,Roborock 石頭 Q8 Max Pro 掃拖機器人,26折,$4999,"$18,999",自動升降拖布 ｜ /零纏繞邊刷 ｜ 10000Pa大吸力,https://www.tk3c.com/product/258091?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,3,270563,Roborock,RRE0VPC,Roborock 石頭 Qrevo Edge 2 掃拖機器人,33折,$19999,"$59,999",25000Pa颶風吸力 ｜ 自動拆卸鎖水拖布 ｜ 280＋障礙物辨識 ｜ 高溫熱水洗烘 ｜ 零纏繞,https://www.tk3c.com/product/270563?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,4,251357,Xiaomi,TM-54782,Xiaomi掃拖機器人 S20+,,$6795,"$6,795",6000Pa 強效吸力風扇鼓風機 ｜ LDS 雷射導航 ｜ 5200mAh 電池 ｜ 米家 APP 遠端控制,https://www.tk3c.com/product/251357?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,5,265528,Roborock,RRE0CPS,Roborock 石頭 Saros 20 掃拖機器人,49折,$32980,"$66,999",100度熱水洗 ｜ 8.8公分雙門檻越障 ｜ 36000pa ｜ 深入7.95cm低矮空間 ｜ 障礙物識別300+,https://www.tk3c.com/product/265528?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,6,258088,Roborock,RRW0PEP,Roborock 石頭 Qrevo C 掃拖機器人,35折,$11999,"$33,999",雙重零纏繞 ｜ 12000Pa吸力 ｜ 伸縮機械臂 ｜ 45度烘乾,https://www.tk3c.com/product/258088?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,7,267209,Roborock,RRE0VSP,Roborock 石頭 Qrevo Edge 2 Pro 掃拖機器人,45折,$26980,"$59,999",低矮區來去自如 ｜ 專為卓越清潔效能打造 ｜ 搭配100℃熱水洗+55℃烘乾 ｜ 主刷、邊刷、萬向輪三重防纏 ｜ 可輕鬆跨越 3+1 公分雙層門檻,https://www.tk3c.com/product/267209?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,8,263451,Roborock,RRE0BEL,Roborock 石頭 Qrevo Curv 2 Flow 掃拖機器人,33折,$19999,"$59,999",滾筒活水拖地270mm 超長滾筒即時刮污 ｜ 支援43mm可伸縮貼邊清潔 ｜ 2.0零纏繞可升降雙邊刷 ｜ 20000Pa大吸力 ｜ 75°C高溫洗布 ｜ 55°C熱烘,https://www.tk3c.com/product/263451?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,9,267776,Roborock,RRE0VES,Roborock 石頭 Saros 20 Sonic 掃拖機器人,50折,$34980,"$69,999",100度熱水洗 ｜ 4.5+4.3公分雙門檻越障 ｜ 36000pa ｜ 伸縮平板震動拖布,https://www.tk3c.com/product/267776?kw=掃地機器人&source=5&ec=Search_hotPC1
2026-09-19,掃地機器人,10,267777,Dyson,RB05,Dyson Spot+Scrub Ai 掃拖機器人,,$24900,"$24,900",Ai偵測清潔，直到徹底潔淨，不乾淨不收工 ｜ Ai智慧感測系統，精準辨識近200種物品 ｜ 27cm 超寬幅洗地滾筒，潔淨不留痕跡 ｜ 12點釋放60°C熱活水洗地 ｜ 避免毛髮纏繞與精準清潔 ｜ 基座自清潔，助你解放雙手 ｜ 嚴格保護數據，隱私安全有保障 ｜ 於APP中快速建圖智能分區,https://www.tk3c.com/product/267777?kw=掃地機器人&source=5&ec=Search_hotPC1
