抓取日期,分類,排名,商品編號,廠牌,型號,商品名稱,折扣,售價,原價,商品詳細,連結
2026-09-19,電視,1,270694,TCL,65P6L,TCL 65型 4K 智慧連網液晶顯示器,83折,$18991,"$22,990",AiPQ 處理器 強大處理效能 ｜ MEMC流暢不受限 ｜ HVA 面板呈現震撼細節 ｜ 金屬窄邊框 展示更多內容 ｜ 全方位護眼 ｜ 支援Airplay2 ｜ Google TV,https://www.tk3c.com/product/270694?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,2,270695,TCL,55P6L,TCL 55型4K 智慧連網液晶顯示器,84折,$14241,"$16,990",AiPQ 處理器 強大處理效能 ｜ MEMC流暢不受限 ｜ HVA 面板呈現震撼細節 ｜ 金屬窄邊框 展示更多內容 ｜ 全方位護眼 ｜ 支援Airplay2 ｜ Google TV,https://www.tk3c.com/product/270695?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,3,259047,索尼SONY,Y-55XR50,索尼 SONY 55型4K Mini LED智慧連網顯示器,,$38900,"$38,900",XR 認知智慧處理器 ｜ XR 極致精準背光控制技術 ｜ XR 降噪銳化 ｜ 專業影像校正 ｜ 多音域環繞聲場技術 ｜ AI 智慧 Voice Zoom 3 ｜ 節能儀表板 2.0/Google TV ｜ 1228 x 739 x 210 mm含底座,https://www.tk3c.com/product/259047?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,4,261887,只殺今天國際牌Panasonic,TV-55W95BGT,只殺今天國際牌 Panasonic 55型 Mini LED 4K智慧聯網顯示器,89折,$29400,"$32,900","4K Mini 雙重區域控光Ultra (3840 x 2160) ｜ HCX pro AI MK II處理器 ｜ 真·自然６原色，３Ｄ色彩管理系統 ｜ Fire TV智慧系統 Airplay ｜ HDR對應:Dolby vision、HDR10+、HDR10、HLG ｜ 防傾倒底座 ｜ 光纖/網路線*1組、HDMI*4組、USB*2組 ｜ 1,226 x 746 x 302 mm(含腳座)",https://www.tk3c.com/product/261887?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,5,267556,飛利浦PHILIPS,43PQT6731,飛利浦 PHILIPS 43型FHD QLED液晶顯示器,91折,$9999,"$10,990","解析度1920x768 ｜ QLED量子點技術 DCI-P3 90% ｜ HLG/HDR10支援 ｜ PixelPlus畫質引擎 ｜ Dolby Audio, Dolby Digital Plus ｜ Google TV 5.0 智慧系統 ｜ Google聲控助理、Google Chromecast投影",https://www.tk3c.com/product/267556?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,6,255513,BenQ,E50-745,BenQ 50型4KGoogle TV追劇護眼顯示器,82折,$13900,"$16,900","國際認證標準 低藍光(SGS)+DC不閃屏(TUV) ｜ 20+年色彩實驗室經驗,Delta E ≦1 ｜ AI光動態演算技術,凸顯影像輪廓,更立體 ｜ 支援Dolby Vision、Dolby Atmos ｜ MEMC畫面更清晰流暢、提升追劇品質 ｜ DLG遊戲倍頻120Hz/智慧抗菌遙控器 ｜ AV*1/USB*2/HDMI2.1*4,耳機/光纖/RJ45各1 ｜ 長21.2X寬111.1X高70cm(含腳架)",https://www.tk3c.com/product/255513_9999?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,7,255512,BenQ,E43-745,BenQ 43型4K Google TV追劇護眼顯示器,78折,$9999,"$12,900","國際認證標準 低藍光(SGS)+DC不閃屏(TUV) ｜ 20+年色彩實驗室經驗,Delta E ≦1 ｜ AI光動態演算技術,凸顯影像輪廓,更立體 ｜ 支援Dolby Vision、Dolby Atmos ｜ MEMC畫面更清晰流暢、提升追劇品質 ｜ DLG遊戲倍頻120Hz/智慧抗菌遙控器 ｜ AV*1/USB*2/HDMI2.1*4,耳機/光纖/RJ45各1 ｜ 長22.6X寬95.7X高61.1cm(含腳架)",https://www.tk3c.com/product/255512_9999?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,8,270324,索尼SONY,Y-75XR30M2,索尼 SONY 75型4K XR認知智慧顯示器,,$59900,"$59,900",認知智慧處理器 XR ｜ XR 原色顯示 Pro ｜ XR 降噪銳化 ｜ 120Hz 原生面板更新率 ｜ Motionflow XR 480 ｜ 支援杜比視界與杜比全景聲 ｜ 4 組 HDMI 2.1 ｜ Google TV with Gemini,https://www.tk3c.com/product/270324?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,9,270842,索尼SONY,Y-98XR70M2,索尼 SONY 98型TRUE RGB智慧顯示器,,$299900,"$299,900",RGB LED ｜ RGB 極致精準背光控制技術 Pro ｜ 認知智慧處理器 XR ｜ XR 對比增強 20 ｜ RGB 原色顯示 Max ｜ XR 降噪銳化 ｜ 極致超廣角 ｜ Google TV with Gemini,https://www.tk3c.com/product/270842?kw=電視&source=5&ec=Search_hotPC1
2026-09-19,電視,10,270673,TCL,98C7L,TCL 98型 頂級SQD-Mini連網液晶顯示器,83折,$125999,"$150,990","高達100% BT.2020全景廣色域 ｜ 2,176 區精準區域控光 ｜ 高達HDR 3,000尼特峰值亮度 ｜ WHVA 2.0 UItra 面板，色彩精準 ｜ Audio by Bang & Olufsen音效體驗 ｜ 遊戲大師，頂級遊玩體驗 ｜ 288 VRR 遊戲加速器 ｜ TSR AiPQ 處理器，極致運算",https://www.tk3c.com/product/270673?kw=電視&source=5&ec=Search_hotPC1
